1;Robert.Gusikowski;0
1;Arlene_Hand2;1
1;Emilie4;1
1;Akeem_Vandervort99;0
1;Hilton_Marquardt70;0
1;Cecilia31;1
1;Maye.Bradtke35;1
1;Alexys_Huels68;1
1;Gerda53;1
1;Cierra_Pfannerstill;0
1;Millie_Jacobi;1
1;Rahsaan_Brekke;0
1;Edmund38;1
1;Liliana.Upton;1
1;Nellie.Heller38;1
1;Emery_Johnston;0
1;Allison27;1
1;Karine_Grady;0
1;Anita.Welch9;0
2;Adolf.Leffler;1
2;Amelie_Shields;0
2;Ted26;1
2;Hildegard_Friesen;1
2;Camylle.Yost;1
2;Mathew.Witting;0
2;Frankie16;1
2;Clara47;0
2;Maddison82;1
2;Yoshiko_Schoen79;1
2;Vena.Schneider85;0
2;Royce.Braun;1
2;Saige36;1
2;Patience65;1
2;Maida34;0
3;Kathlyn87;0
3;Jesse96;0
3;Cathy_Lockman;0
3;Else.Terry93;0
4;Prince43;1
4;Orlo_Ankunding61;1
4;Liliana91;0
4;Eleonore24;0
4;Reinhold34;0
4;Chauncey.Kub;0
4;Vern_Durgan;0
4;Ursula.Gutmann23;0
4;Tomas_Prosacco25;0
4;Lacy.Dach;1
4;Guillermo_Pouros60;1
4;Amani_Simonis97;0
4;Holly19;0
4;Misty19;1
4;Shanel.Smitham;1
4;Ivy_Christiansen21;1
4;Jamar_Rutherford7;0
4;Silas17;0
4;Emiliano_Bernhard40;1
4;Henri22;1
4;Toby17;0
4;Gus43;1
4;Adelia_Kshlerin88;1
4;Erick.Roberts70;0
4;Anna.Nienow;0
4;Emerson44;0
4;Shawn29;1
4;Vidal.Moore;0
4;Diana.Rau;0
4;Kiarra.Franey;1
4;Nellie_Fay;0
4;Vivienne_Bernier22;1
5;Gennaro.Terry;0
5;Maximillian.Dietrich;1
5;Jarod_Stehr;1
5;Dock.Kiehn;0
5;Deion.Will;1
5;Randi_Boehm;1
5;Kara_Boehm69;1
5;Evangeline19;0
5;Demetrius.Franey;1
6;Brock.Krajcik83;0
6;Cayla.Farrell;0
7;Wiley_Mertz32;1
7;Mayra81;0
7;Boris7;1
7;Eloise.Denesik;1
7;Aidan6;1
7;Iva.Kilback;0
7;Jerrold.Langosh;1
7;Shanelle.Crona69;0
7;Berneice_Wolff39;1
7;Dannie_Senger63;0
7;Larissa.Macejkovic;0
7;Elmo31;0
7;Dock_Koss89;1
7;Hyman.Jacobson;1
7;Tatum.Hegmann45;1
7;Theodore_Grady69;0
7;Myles_Walsh;0
7;Orion13;1
7;Aric69;0
7;Roslyn_Langworth;0
8;Adele.Huel;1
8;Crystel38;1
8;Rex55;1
8;Brittany.Prohaska49;0
8;Jessyca29;0
8;Neha30;1
8;Dino.Kiehn;0
8;Royce_Legros;0
8;Cielo_Baumbach;1
8;Winifred.Johnson62;1
8;Clark_Goyette;1
8;Maxime89;1
8;Margarita_Carroll39;0
8;Amina.Reilly30;0
8;Vernice_Towne77;0
8;Casimer_Boehm66;1
8;Eldridge27;1
8;Marianne73;0
8;Eva.Schowalter16;1
8;Kaycee70;0
8;Lester.Farrell;0
8;Elwyn48;0
8;Elliot_Williamson;1
8;Jazmyn72;0
8;Nathaniel_Lynch15;1
8;Genevieve42;0
8;Delpha52;1
8;John60;1
8;Beulah27;0
8;Orville3;0
8;Queenie27;0
8;Parker.Hahn;0
8;Ramiro_Rodriguez;1
9;Wilburn.Hegmann70;0
9;Lorna.Gorczany43;0
9;Ellen_Marvin;0
9;Ettie.Prosacco;0
9;Laurine.Lynch;1
9;Abagail.Borer;1
9;Nathen_Schroeder;0
9;Jared40;0
9;Ted.Greenholt;0
9;Heloise_Batz1;1
9;Shakira_Gottlieb;0
9;Cheyanne_Harvey;0
9;Pat.Vandervort25;0
9;Parker.Hahn;1
9;Virginia_Brown96;1
9;Omari74;0
9;Vicente_Gottlieb80;1
9;Elijah78;0
9;Micah68;0
9;Gustave.Dare21;1
9;Joan.Rippin36;0
9;Ryder.Krajcik69;1
9;Nellie_Fay;0
9;Era_Durgan;0
10;Jayson35;1
10;Laurence_Goyette27;0
10;Payton70;1
10;Billie47;0
10;Nicholaus.Windler;1
10;Jordi77;0
10;Rhianna_Beier;1
11;Damon77;1
11;Cecile.Hessel47;1
11;Electa.Padberg78;1
11;Florence.Breitenberg45;0
11;Ernestina_Walter91;1
11;Keon57;0
11;Shanon_Witting;0
11;Shirley_Nienow96;0
11;Thaddeus.Wisoky90;0
11;Ricardo89;0
11;Darrin79;0
11;Evalyn_Kutch2;1
11;Colin_Murphy;1
11;Nick.Cole;0
11;Zita.Klocko;1
11;Arlene13;0
12;Ursula71;1
12;Damaris50;0
12;Deborah30;0
12;Arlene_Pfeffer51;1
12;Pamela_Rath89;1
12;Amanda.Schoen72;0
12;Otho3;1
12;Friedrich.Waelchi;0
12;Wilma.Gibson;0
12;Charlie_Howell;1
12;Allene.Wintheiser;0
12;Sabrina3;0
12;Twila17;0
13;Kathryne86;0
13;Vicky.Moen;0
13;Theodora.Wilkinson;0
13;Frieda65;0
13;Jaron.Koelpin;1
13;Elta80;1
13;Madeline.Yundt;1
13;Eriberto.Veum;1
13;Mateo40;1
13;Nathaniel.Abshire;0
13;Kevin.Hammes;1
13;Myrl.Mitchell;1
13;Marquise_Gutkowski24;0
13;Norval.DuBuque85;0
13;Cornelius63;0
13;Lurline68;1
13;Laverne_Gerlach78;0
13;Randi_Boehm;1
13;Felicita_Greenholt;1
13;Burley16;0
13;Whitney89;1
13;Roel29;1
13;Vinnie_Predovic;1
13;Hosea.Parker40;1
13;Gracie_Gorczany;1
14;Jordon.Bins48;1
14;Darien.Schoen;0
14;Bella35;0
14;Brycen.Kunde;1
14;Angelina.Botsford;1
14;Oscar.Skiles;1
14;Pat.Carroll;0
14;Vergie45;1
14;Myrtice.Stanton55;1
14;Madge.Rempel45;1
14;Amani30;1
14;Magnus_Torp72;0
14;Boyd77;1
14;Isabell41;0
14;Rosetta.Bode27;1
14;Austen.Abshire;1
14;Zechariah_Stark77;0
14;Oren85;1
14;Newell.Zboncak16;1
14;Maude.Nikolaus;0
14;Eda_Mante89;0
14;Henri49;1
14;Frederique_Bayer44;0
14;Elmo_Corwin;0
14;Irving.Abernathy;0
14;Coleman_Gislason86;0
14;Jayce59;0
15;Winifred.Auer;1
15;Alex_Gerhold94;0
15;Jazmyne.Donnelly;1
15;Everette25;1
15;Lavon_Strosin;0
15;Dedric98;1
15;Alexandria_Smitham93;0
15;Tyreek_Lehner29;1
15;Cleora78;0
15;Kelley33;0
15;Oma_Schuppe;0
15;Leif_Hyatt19;0
15;Marlen_OConner;0
15;Jeffery_Schowalter74;0
15;Meggie2;0
15;Edwin.Green;1
15;Jabari_Kihn0;1
15;Jensen72;0
15;Hunter50;1
15;Candida_Graham;1
15;Orlo.Smith;0
15;Alvina_Hamill;0
15;Hollie50;1
16;Sherwood_Homenick;0
16;Fidel.Dach;1
